source_field	include_value	exclude_value	filter_group_id	comments
dataset_name		SHARK_Zoobenthos_2010_2011_UMSC_BDLST		
dataset_name		SHARK_Zoobenthos_2010_HBGMILJO		
dataset_name	SHARK_Zoobenthos_2010_KMRS			
dataset_name		SHARK_Zoobenthos_2010_LNU_Schwedwn		
dataset_name		SHARK_Zoobenthos_2010_LNU_Verko		
dataset_name		SHARK_Zoobenthos_2010_NLST		
dataset_name		SHARK_Zoobenthos_2010_OLST_Idefjorden		
dataset_name		SHARK_Zoobenthos_2010_UMSC_Boliden		
dataset_name		SHARK_Zoobenthos_2011_AQBI_MARMONI		
dataset_name		SHARK_Zoobenthos_2011_HBGMILJO		
dataset_name	SHARK_Zoobenthos_2011_KMRS			
dataset_name		SHARK_Zoobenthos_2011_KMRS_Havstenfjord		
dataset_name	SHARK_Zoobenthos_2011_KMRS_NAT_extra			
dataset_name		SHARK_Zoobenthos_2011_LNU_Malmfjarden		
dataset_name		SHARK_Zoobenthos_2011_LNU_Oskarshamn		
dataset_name		SHARK_Zoobenthos_2011_NLST		
dataset_name		SHARK_Zoobenthos_2011_NLST_Kungsbackafjorden		
dataset_name	SHARK_Zoobenthos_2011_SUSE			
dataset_name		SHARK_Zoobenthos_2011_SVVAEK_Nacka		
dataset_name		SHARK_Zoobenthos_2011_TOXICO_NVSKK		
dataset_name		SHARK_Zoobenthos_2011_UMSC_Boliden		
dataset_name		SHARK_Zoobenthos_2012_2015_MEDINS_MSVVF_mfl		
dataset_name		SHARK_Zoobenthos_2012_AQBI_MARMONI		
dataset_name		SHARK_Zoobenthos_2012_AQBI_MMSB		
dataset_name		SHARK_Zoobenthos_2012_BDLST_Kalix		
dataset_name		SHARK_Zoobenthos_2012_BDLST_Pitea		
dataset_name		SHARK_Zoobenthos_2012_HAFOK_Orust_Tjorn		
dataset_name		SHARK_Zoobenthos_2012_HAFOK_Ostergotland		
dataset_name		SHARK_Zoobenthos_2012_HBGMILJO		
dataset_name		SHARK_Zoobenthos_2012_MEDINS		
dataset_name		SHARK_Zoobenthos_2012_MEDINS_MSVVF		
dataset_name		SHARK_Zoobenthos_2012_PAG_HAL		
dataset_name		SHARK_Zoobenthos_2012_PAG_Kloster		
dataset_name		SHARK_Zoobenthos_2012_PAG_KUNGB		
dataset_name		SHARK_Zoobenthos_2012_PAG_Kyrkefjall		
dataset_name		SHARK_Zoobenthos_2012_PAG_Laholm		
dataset_name		SHARK_Zoobenthos_2012_PAG_Laholmkustv		
dataset_name		SHARK_Zoobenthos_2012_PAG_NorMelHalKust		
dataset_name		SHARK_Zoobenthos_2012_PAG_Ockero		
dataset_name		SHARK_Zoobenthos_2012_PAG_Riso_Saro		
dataset_name		SHARK_Zoobenthos_2012_PAG_SodMelHalKust		
dataset_name		SHARK_Zoobenthos_2012_PAG_Varren		
dataset_name		SHARK_Zoobenthos_2012_PAG_Vendelarkipel		
dataset_name		SHARK_Zoobenthos_2012_PELA_YNR_Kopmanholmen		
dataset_name		SHARK_Zoobenthos_2012_PELA_YNR_Vasternorrland		
dataset_name	SHARK_Zoobenthos_2012_SUSE			
dataset_name		SHARK_Zoobenthos_2012_SUSE_RegGotl		
dataset_name		SHARK_Zoobenthos_2012_SUSE_RegOstergot		
dataset_name		SHARK_Zoobenthos_2012_SUSE_RegStlm		
dataset_name		SHARK_Zoobenthos_2012_TOXICO		
dataset_name		SHARK_Zoobenthos_2012_TOXICO_NVSKK		
dataset_name		SHARK_Zoobenthos_2012_UMSC_Boliden		
dataset_name		SHARK_Zoobenthos_2013_2014_MEDINS_BKVF_LVVVF		
dataset_name		SHARK_Zoobenthos_2013_BDLST_Kalix		
dataset_name		SHARK_Zoobenthos_2013_BDLST_Pitea		
dataset_name		SHARK_Zoobenthos_2013_CALLUN		
dataset_name	SHARK_Zoobenthos_2013_DEEP			
dataset_name		SHARK_Zoobenthos_2013_DEEP_RegGotl		
dataset_name		SHARK_Zoobenthos_2013_DEEP_RegOstergot		
dataset_name		SHARK_Zoobenthos_2013_DEEP_RegStlm		
dataset_name		SHARK_Zoobenthos_2013_HBGMILJO		
