scientific_name	authority	rank	aphia_id	url	parent_name	parent_id	status	valid_aphia_id	valid_name	valid_authority	kingdom	phylum	class	order	family	genus	classification	lsid
Cyanophthalma	Norenburg, 1986	Genus	122412	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122412	Sacconemertidae	1416300	accepted	122412	Cyanophthalma	Norenburg, 1986	Animalia	Nemertea	Hoplonemertea	Monostilifera	Sacconemertidae	Cyanophthalma	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Hoplonemertea - [Order] Monostilifera - [Suborder] Eumonostilifera - [Infraorder] Amphiporina - [Family] Sacconemertidae - [Genus] Cyanophthalma	urn:lsid:marinespecies.org:taxname:122412
Tetrastemma	Ehrenberg, 1831	Genus	122419	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122419	Tetrastemmatidae	122329	accepted	122419	Tetrastemma	Ehrenberg, 1831	Animalia	Nemertea	Hoplonemertea	Monostilifera	Tetrastemmatidae	Tetrastemma	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Hoplonemertea - [Order] Monostilifera - [Suborder] Eumonostilifera - [Infraorder] Amphiporina - [Family] Tetrastemmatidae - [Genus] Tetrastemma	urn:lsid:marinespecies.org:taxname:122419
Cerebratulus fuscus	(McIntosh, 1874)	Species	122471	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122471	Cerebratulus	122348	accepted	122471	Cerebratulus fuscus	(McIntosh, 1874)	Animalia	Nemertea	Pilidiophora	Heteronemertea	Lineidae	Cerebratulus	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Pilidiophora - [Order] Heteronemertea - [Family] Lineidae - [Genus] Cerebratulus - [Species] Cerebratulus fuscus	urn:lsid:marinespecies.org:taxname:122471
Cerebratulus marginatus	Renier, 1804	Species	122478	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122478	Cerebratulus	122348	accepted	122478	Cerebratulus marginatus	Renier, 1804	Animalia	Nemertea	Pilidiophora	Heteronemertea	Lineidae	Cerebratulus	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Pilidiophora - [Order] Heteronemertea - [Family] Lineidae - [Genus] Cerebratulus - [Species] Cerebratulus marginatus	urn:lsid:marinespecies.org:taxname:122478
Oxypolella bergendali	Cantell, 1972	Species	122496	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122496	Oxypolella	122351	accepted	122496	Oxypolella bergendali	Cantell, 1972	Animalia	Nemertea	Pilidiophora	Heteronemertea	Lineidae	Oxypolella	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Pilidiophora - [Order] Heteronemertea - [Family] Lineidae - [Genus] Oxypolella - [Species] Oxypolella bergendali	urn:lsid:marinespecies.org:taxname:122496
Lineus longissimus	(Gunnerus, 1770)	Species	122528	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122528	Lineus	122358	accepted	122528	Lineus longissimus	(Gunnerus, 1770)	Animalia	Nemertea	Pilidiophora	Heteronemertea	Lineidae	Lineus	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Pilidiophora - [Order] Heteronemertea - [Family] Lineidae - [Genus] Lineus - [Species] Lineus longissimus	urn:lsid:marinespecies.org:taxname:122528
Micrura baltica	Cantell, 1975	Species	122549	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122549	Micrura	122360	accepted	122549	Micrura baltica	Cantell, 1975	Animalia	Nemertea	Pilidiophora	Heteronemertea	Lineidae	Micrura	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Pilidiophora - [Order] Heteronemertea - [Family] Lineidae - [Genus] Micrura - [Species] Micrura baltica	urn:lsid:marinespecies.org:taxname:122549
Hubrechtella dubia	Bergendal, 1902	Species	122607	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122607	Hubrechtella	122382	accepted	122607	Hubrechtella dubia	Bergendal, 1902	Animalia	Nemertea	Pilidiophora	Hubrechtiiformes	Hubrechtellidae	Hubrechtella	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Pilidiophora - [Order] Hubrechtiiformes - [Family] Hubrechtellidae - [Genus] Hubrechtella - [Species] Hubrechtella dubia	urn:lsid:marinespecies.org:taxname:122607
Callinera buergeri	Bergendal, 1900	Species	122610	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122610	Callinera	122384	accepted	122610	Callinera buergeri	Bergendal, 1900	Animalia	Nemertea	Palaeonemertea	Tubulaniformes	Callineridae	Callinera	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Palaeonemertea - [Order] Tubulaniformes - [Family] Callineridae - [Genus] Callinera - [Species] Callinera buergeri	urn:lsid:marinespecies.org:taxname:122610
Tubulanus annulatus	(Montagu, 1804)	Species	122626	https://www.marinespecies.org/aphia.php?p=taxdetails&id=122626	Tubulanus	122388	accepted	122626	Tubulanus annulatus	(Montagu, 1804)	Animalia	Nemertea	Palaeonemertea	Tubulaniformes	Tubulanidae	Tubulanus	[Superdomain] Biota - [Kingdom] Animalia - [Phylum] Nemertea - [Class] Palaeonemertea - [Order] Tubulaniformes - [Family] Tubulanidae - [Genus] Tubulanus - [Species] Tubulanus annulatus	urn:lsid:marinespecies.org:taxname:122626
